Rank,Name,Age,Tier,Height,Weight,Position,Team,Wingspan,ModalKey,Snapshot_free,SpatialIQ,FitMatrix,DefensiveProfile,ArchetypeDrift,RiskIndex,MaturityIndex,ShotQualityModel,HistoricalEchoes,CognitiveProfile,DevelopmentalArchetype,DiagnosticOverlay,FilteredMetrics,DefensiveVersatility,PossessionTag,ComparisonRationale,Jazz
92,Adrian Wooley,18,Bronze,"6'4""",185,SG,Louisville (transfer from Kennesaw State),"6'7""",ModalKey-Wooley,,,,,,,,,,,,,,,,,
93,Zuby Ejiofor,21,Silver,"6'9""",237,PF/C,St. Johns,"7'0""",ModalKey-Ejiofor,,,,,,,,,,,,,,,,,
94,Wesley Yates III,20,Silver,"6'4""",210,SG,Washington,"6'6""",ModalKey-Yates III,,,,,,,,,,,,,,,,,
95,Alvaro Folguerias,21,Bronze,"6'7""",215,SF,Iowa,6'10,ModalKey-Folguerias,,,,,,,,,,,,,,,,,
96,Ryan Conwell,21,Bronze,6'4,215,PG/SG,Louisville,"6'6""",ModalKey-Conwell,,,,,,,,,,,,,,,,,
97,Moustapha Thiam,18,Bronze,"7'2""",235,C,Cincinatti,"7'4""",ModalKey-Thiam,,,,,,,,,,,,,,,,,
98,Mouhammad Faye,19,Bronze,6'10,215,C,"Pallacanestro Reggio Emilia (Italy, LBA","7'1""",ModalKey-Faye,,,,,,,,,,,,,,,,,
99,Kaleb Banks,21,Bronze,"6'8""",210,SF/PF,Depaul,"6'10""",ModalKey-Banks,,,,,,,,,,,,,,,,,
100,Neoklis Avdalas,19,Silver,"6'9""",215,SG/SF,Virginia Tech,"6'9""",ModalKey-Avdalas,,,,,,,,,,,,,,,,,
101,Malik Dia,22,Bronze,"6'9""",235,PF,Ole Miss,"6'11""",ModalKey-Dia,,,,,,,,,,,,,,,,,
102,Jaron Pierre Jr.,23,Bronze,"6'5""",190,SG,SMU,"6'7""",ModalKey-Pierre Jr.,,,,,,,,,,,,,,,,,
103,Baba Miller,21,Bronze,"6'11""",220,PF,Cincinatti,"7'2""",ModalKey-Miller,,,,,,,,,,,,,,,,,
104,Nate Bittle,22,Bronze,"7'0""",240,C,Oregon,"7'3""",ModalKey-Bittle,,,,,,,,,,,,,,,,,
105,Mackenzie Mgbako,21,Bronze,"6'8""",220,SF/PF,Texas A & M,"6'10""",ModalKey-Mgbako,,,,,,,,,,,,,,,,,
106,Dailyn Swain,20,Bronze,"6'8""",225,SG/SF,Texas,6'10,ModalKey-Swain,,,,,,,,,,,,,,,,,
107,Tyler Harris,21,Bronze,"6'7""",207,SF/PF,Vanderbilt,"6'10""",ModalKey-Harris,,,,,,,,,,,,,,,,,
108,Kam Williams,20,Bronze,"6'4""",185,SG/SF,Kentucky (transfer from Tulane),6'10,ModalKey-KamWilliams,,,,,,,,,,,,,,,,,
109,Richie Saunders,24,Bronze,"6'5""",200,SG,BYU,"6'7""",ModalKey-Saunders,,,,,,,,,,,,,,,,,
110,Sidi Gueye,18,Bronze,6'11,215,C,Arizona,"7'4""",ModalKey-Gueye,,,,,,,,,,,,,,,,,
111,Jackson McAndrew*,20,Bronze,"6'9""",200,PF,Creighton,6'10,ModalKey-McAndrew,,,,,,,,,,,,,,,,,
112,Malique Lewis,21,Bronze,"6'8""",195,SF/PF,"South East Melbourne Phoenix (NBL Next Stars, Australia","7'1""",ModalKey-Lewis,,,,,,,,,,,,,,,,,
